"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir440730-2016-Pass2-Tron1-Chiro_0_00000_000"	"noise"	0	5	20	0.596	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.102	0.004	0.006	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0.002	0.006	0.002	0.006	0.006	0.014	0	0	0	0.036	0.004	0	0.002	0	0	0	0.01	0	0.034	0.002	0.044	0.004	0	0.002	0	0	0	0.006	0	0.006	0.006	0	0.006	0.012	0.372	0	0.018	0.024	0	0.012	0.006	0	0.062	0.014	0.012	0.002	0	0.032	0	0	0.002	0	0.012	0	0.002	0	0	0	0.002	0	0.002	0	0	0.006	0.002	0.01	0.01	0	0.01	0.002	0.004	0.038	0	0.004	0	0	0	0	0.002	"noise"	0.372	0.667261018222309	""	""	1	800	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00014_994"	"noise"	0	4.9	20	0.628	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.11	0.004	0.004	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0.002	0.006	0.004	0.016	0	0	0	0.036	0.004	0	0.002	0	0	0	0.01	0	0.034	0	0.046	0.004	0	0.002	0	0	0	0.004	0	0.006	0.006	0	0.006	0.014	0.372	0	0.02	0.026	0	0.012	0.006	0	0.056	0.016	0.01	0.002	0	0.036	0	0	0.002	0	0.012	0	0.002	0	0	0	0.002	0	0.002	0	0	0.004	0.002	0.01	0.01	0	0.01	0.004	0.004	0.032	0	0.004	0	0	0	0	0.002	"noise"	0.372	0.667261018222309	""	""	1	814.994	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00019_992"	"noise"	0.1	5	20	0.676	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.112	0.004	0.004	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0	0.008	0.004	0.016	0	0	0	0.036	0.004	0	0.002	0	0	0	0.01	0	0.032	0	0.048	0.002	0	0.002	0	0	0	0.006	0	0.008	0.004	0	0.004	0.014	0.378	0	0.022	0.026	0	0.008	0.006	0	0.054	0.016	0.008	0.002	0	0.036	0	0	0.004	0	0.01	0	0.002	0	0	0	0.002	0	0.002	0	0	0.004	0.002	0.01	0.01	0	0.01	0.004	0.006	0.03	0	0.004	0	0	0	0	0.002	"noise"	0.378	0.681260698390007	""	""	1	819.992	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00029_989"	"noise"	0.3	4.9	20	0.604	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.102	0.004	0.006	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0.002	0.006	0.006	0.016	0	0	0	0.038	0.004	0	0.002	0	0	0	0.01	0	0.034	0	0.046	0.004	0	0.002	0	0	0	0.006	0	0.006	0.004	0	0.006	0.014	0.372	0	0.02	0.024	0	0.014	0.006	0	0.054	0.016	0.01	0.002	0	0.032	0	0	0.004	0	0.01	0	0.002	0	0	0	0.002	0.002	0.002	0	0	0.004	0.002	0.01	0.01	0	0.01	0.004	0.002	0.04	0	0.004	0	0	0	0	0.002	"noise"	0.372	0.667261018222309	""	""	1	829.989	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00034_987"	"noise"	0	5	20	0.752	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.1	0.004	0.002	0	0.002	0.002	0.002	0	0	0	0.002	0	0.006	0	0	0	0.006	0	0.006	0.004	0.014	0	0	0	0.032	0.004	0	0.002	0	0	0	0.01	0	0.032	0.002	0.052	0.002	0	0.002	0	0	0	0.006	0	0.004	0.004	0	0.002	0.014	0.414	0	0.02	0.02	0	0.006	0.006	0	0.054	0.016	0.008	0.002	0	0.03	0.004	0	0.004	0	0.008	0	0.002	0	0	0	0.002	0	0.002	0	0	0.006	0.002	0.01	0.01	0	0.01	0.004	0.006	0.03	0	0.004	0	0	0	0	0.002	"noise"	0.414	0.758058185182201	""	""	1	834.987	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00049_981"	"noise"	0.1	5	20	0.702	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.11	0.004	0.004	0	0.002	0.004	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0	0.008	0.004	0.016	0	0	0	0.036	0.004	0	0.002	0	0	0	0.01	0	0.03	0	0.06	0.002	0	0.002	0	0	0	0.008	0	0.004	0.004	0	0.004	0.014	0.38	0	0.022	0.024	0	0.008	0.006	0	0.052	0.016	0.008	0.002	0	0.034	0.002	0	0.004	0	0.01	0	0.002	0	0	0	0.002	0	0.002	0	0	0.004	0.002	0.008	0.01	0	0.01	0.004	0.006	0.03	0	0.004	0	0	0	0	0.002	"noise"	0.38	0.685857039399756	""	""	1	849.981	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00059_977"	"noise"	0	5	20	0.682	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.11	0.004	0.004	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0	0.008	0.004	0.016	0	0	0	0.036	0.004	0	0.002	0	0	0	0.01	0	0.03	0.002	0.048	0.002	0	0.002	0	0	0	0.006	0	0.01	0.004	0	0.004	0.014	0.378	0	0.022	0.024	0	0.006	0.006	0	0.056	0.016	0.008	0.002	0	0.032	0	0	0.004	0	0.01	0	0.002	0	0	0	0.002	0	0.002	0	0	0.006	0.004	0.012	0.01	0	0.01	0.002	0.006	0.032	0	0.004	0	0	0	0	0.002	"noise"	0.378	0.681260698390007	""	""	1	859.977	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00064_975"	"noise"	0	4.8	20	0.678	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.11	0.004	0.004	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0	0.008	0.004	0.016	0	0	0	0.038	0.004	0	0.002	0	0	0	0.01	0	0.028	0	0.048	0.002	0	0.002	0	0	0	0.006	0	0.01	0.002	0	0.004	0.014	0.38	0	0.022	0.026	0	0.008	0.006	0	0.054	0.016	0.008	0.002	0	0.034	0	0	0.006	0	0.01	0	0.002	0	0	0	0.002	0.002	0.002	0	0	0.004	0.002	0.01	0.01	0	0.01	0.004	0.004	0.032	0	0.004	0	0	0	0	0.002	"noise"	0.38	0.685857039399756	""	""	1	864.975	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00079_970"	"noise"	0.2	5	20	0.71	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.106	0.004	0.004	0	0.002	0.002	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0	0.006	0.004	0.016	0	0	0	0.034	0.004	0	0.002	0	0	0	0.01	0	0.028	0	0.06	0.002	0	0.002	0	0	0	0.008	0	0.004	0.002	0	0.002	0.014	0.396	0	0.022	0.024	0	0.008	0.006	0	0.052	0.016	0.008	0.002	0	0.032	0.004	0	0.006	0	0.01	0	0.002	0	0	0	0.002	0.002	0.002	0	0	0.004	0.002	0.008	0.01	0	0.01	0.004	0.004	0.028	0	0.004	0	0	0	0	0.002	"noise"	0.396	0.721279493755544	""	""	1	879.97	"noise"	0
"Cir440730-2016-Pass2-Tron1-Chiro_0_00089_966"	"noise"	0.1	5	20	0.664	""	""	""	""	""	"57baf418ec17be000eea34ba"	0.112	0.004	0.004	0	0.002	0.006	0.002	0	0	0	0.002	0	0.004	0	0	0	0.006	0	0.008	0.004	0.016	0	0	0	0.036	0.004	0	0.002	0	0	0	0.01	0	0.03	0	0.048	0.004	0	0.002	0	0	0	0.006	0	0.006	0.004	0	0.004	0.014	0.38	0	0.02	0.026	0	0.008	0.006	0	0.054	0.016	0.008	0.002	0	0.036	0	0	0.004	0	0.01	0	0.002	0	0	0	0.002	0	0.002	0	0	0.004	0.002	0.01	0.01	0	0.01	0.004	0.006	0.032	0	0.004	0	0	0	0	0.002	"noise"	0.38	0.685857039399756	""	""	1	889.966	"noise"	0
